# WAVELENGTH    FLUX        
  2658.141846   7.1127E-13  
  2659.514648   7.1068E-13  
  2660.887207   6.9265E-13  
  2662.26001    6.822E-13   
  2663.632812   6.5561E-13  
  2665.005371   6.4557E-13  
  2666.378174   6.418E-13   
  2667.750732   6.3768E-13  
  2669.123535   6.3611E-13  
  2670.496094   6.4639E-13  
  2671.868896   6.607E-13   
  2673.241455   6.6459E-13  
  2674.614014   6.4186E-13  
  2675.986816   7.0274E-13  
  2677.359375   7.1022E-13  
  2678.731934   6.7286E-13  
  2680.104492   6.3494E-13  
  2681.477295   6.5654E-13  
  2682.849854   6.8896E-13  
  2684.222412   6.9857E-13  
  2685.594971   6.9068E-13  
  2686.967529   6.8884E-13  
  2688.340088   6.8422E-13  
  2689.712646   6.7174E-13  
  2691.085205   6.4727E-13  
  2692.457764   6.3997E-13  
  2693.830078   6.6712E-13  
  2695.202637   6.7718E-13  
  2696.575195   6.7114E-13  
  2697.947754   6.5819E-13  
  2699.320068   6.5037E-13  
  2700.692627   6.5324E-13  
  2702.065186   6.692E-13   
  2703.4375     6.7644E-13  
  2704.810059   6.8937E-13  
  2706.182373   6.8721E-13  
  2707.554932   6.7282E-13  
  2708.927246   6.6212E-13  
  2710.299805   6.5722E-13  
  2711.672119   6.5454E-13  
  2713.044434   6.5146E-13  
  2714.416992   6.4759E-13  
  2715.789307   6.4316E-13  
  2717.161621   6.2563E-13  
  2718.533936   6.4877E-13  
  2719.90625    6.3151E-13  
  2721.278564   5.9412E-13  
  2722.650879   6.2617E-13  
  2724.023193   6.4547E-13  
  2725.395508   6.358E-13   
  2726.767822   6.194E-13   
  2728.140137   6.2417E-13  
  2729.512451   6.07E-13    
  2730.884766   6.6269E-13  
  2732.25708    6.8496E-13  
  2733.62915    6.6488E-13  
  2735.001465   6.279E-13   
  2736.373779   6.2259E-13  
  2737.74585    6.176E-13   
  2739.118164   5.6293E-13  
  2740.490234   5.8929E-13  
  2741.862549   5.4926E-13  
  2743.234619   5.856E-13   
  2744.606689   5.1225E-13  
  2745.979004   5.3082E-13  
  2747.351074   5.7601E-13  
  2748.723145   4.7028E-13  
  2750.095459   5.3124E-13  
  2751.467529   4.6914E-13  
  2752.8396     5.4768E-13  
  2754.21167    6.2721E-13  
  2755.58374    6.107E-13   
  2756.955811   5.5373E-13  
  2758.327881   5.1189E-13  
  2759.699951   6.2705E-13  
  2761.072021   6.6753E-13  
  2762.444092   6.6706E-13  
  2763.815918   6.2662E-13  
  2765.187988   6.3698E-13  
  2766.560059   6.6818E-13  
  2767.932129   6.7098E-13  
  2769.303955   6.5189E-13  
  2770.676025   6.341E-13   
  2772.047852   6.6932E-13  
  2773.419922   6.8755E-13  
  2774.791748   6.7799E-13  
  2776.163818   6.9868E-13  
  2777.535645   6.7739E-13  
  2778.907471   6.5184E-13  
  2780.279297   6.2222E-13  
  2781.651367   6.1289E-13  
  2783.023193   6.1747E-13  
  2784.39502    6.3136E-13  
  2785.766846   6.3145E-13  
  2787.138672   6.3911E-13  
  2788.510498   6.382E-13   
  2789.882324   5.829E-13   
  2791.25415    5.4143E-13  
  2792.625977   4.3771E-13  
  2793.997803   3.3042E-13  
  2795.369385   2.1157E-13  
  2796.741211   1.2064E-13  
  2798.113037   1.1061E-13  
  2799.484619   1.4185E-13  
  2800.856445   1.982E-13   
  2802.228027   2.1505E-13  
  2803.599854   1.4526E-13  
  2804.971436   1.3166E-13  
  2806.343262   2.2189E-13  
  2807.714844   3.6247E-13  
  2809.086426   4.8668E-13  
  2810.458252   5.8546E-13  
  2811.829834   6.1878E-13  
  2813.201416   6.3768E-13  
  2814.572998   6.539E-13   
  2815.94458    6.8896E-13  
  2817.316162   7.2104E-13  
  2818.687744   7.1466E-13  
  2820.059326   7.1461E-13  
  2821.430908   7.2704E-13  
  2822.802246   7.3712E-13  
  2824.173828   7.331E-13   
  2825.54541    7.4015E-13  
  2826.916992   7.4023E-13  
  2828.28833    7.1944E-13  
  2829.659912   7.334E-13   
  2831.03125    7.2887E-13  
  2832.402832   7.397E-13   
  2833.77417    7.3006E-13  
  2835.145508   7.3578E-13  
  2836.51709    7.2771E-13  
  2837.888428   6.8051E-13  
  2839.259766   7.3801E-13  
  2840.631104   7.3578E-13  
  2842.002441   6.9506E-13  
  2843.373779   7.0279E-13  
  2844.745117   6.9441E-13  
  2846.116455   6.8916E-13  
  2847.487793   7.0188E-13  
  2848.859131   7.1051E-13  
  2850.230469   6.5806E-13  
  2851.601807   6.02E-13    
  2852.9729     4.7379E-13  
  2854.344238   3.5591E-13  
  2855.715332   5.4919E-13  
  2857.08667    6.6479E-13  
  2858.458008   6.772E-13   
  2859.829102   6.9138E-13  
  2861.200195   7.2039E-13  
  2862.571533   7.5114E-13  
  2863.942627   7.3271E-13  
  2865.313721   7.3889E-13  
  2866.684814   7.23E-13    
  2868.055908   7.2464E-13  
  2869.427002   6.8999E-13  
  2870.798096   6.9344E-13  
  2872.169189   7.3204E-13  
  2873.540283   7.5432E-13  
  2874.911377   7.5188E-13  
  2876.282471   7.2207E-13  
  2877.653564   7.0818E-13  
  2879.024414   7.0355E-13  
  2880.395508   7.0408E-13  
  2881.766357   6.9049E-13  
  2883.137451   5.6381E-13  
  2884.508301   6.4819E-13  
  2885.879395   7.3906E-13  
  2887.250244   7.788E-13   
  2888.621094   7.8694E-13  
  2889.992188   7.6745E-13  
  2891.363037   7.4308E-13  
  2892.733887   7.4494E-13  
  2894.104736   7.216E-13   
  2895.475586   7.2308E-13  
  2896.846436   7.4453E-13  
  2898.217285   7.8008E-13  
  2899.588135   7.897E-13   
  2900.958984   7.9752E-13  
  2902.32959    8.3646E-13  
  2903.700439   8.1686E-13  
  2905.071289   8.2534E-13  
  2906.441895   8.4547E-13  
  2907.812744   8.2347E-13  
  2909.18335    7.9599E-13  
